,Unnamed: 0,user_id,tweet_id,location,source,hashtags
67,1087,1090643380688760832,1190026568690745344,Korea,Twitter for Android,"['JustDance', 'JHOPE']"
68,1096,1160560919165845508,1190026572398546952,日本,Twitter for iPhone,
69,1107,957491961031569408,1190026585413259264,Korea,Twitter for iPhone,"['방탄소년단', 'BTS']"
70,1114,1166324124068659200,1190026592212398080,Indonesia,Twitter for Android,
71,1147,1009638193036124161,1190026622071529472,United States,Twitter for Android,['BTS']
72,1164,1189560625204097029,1190026639947837440,Indonesia,Twitter for Android,
73,1184,1006106081557282816,1190026655517040640,Korea,Twitter for iPhone,"['JIMIN', '지민', 'ジミン', '방탄소년단', 'BTS', '지민아사랑해']"
74,1202,1057613017951567873,1190026670562037760,日本,Twitter for iPhone,"['BTS', 'Lights', 'BoyWithLove']"
75,1214,1139843231930343424,1190026685716062211,United States,Twitter for iPhone,
76,1219,1042778654848122880,1190026687959879680,Indonesia,Twitter for Android,
77,1230,1146218166936145921,1190026697564971010,Indonesia,Twitter for iPhone,
78,1243,993267954593681408,1190026703818633218,Indonesia,Twitter for Android,
79,1281,885538274625769476,1190026734722277382,United States,Twitter for iPhone,
80,1288,1120190182190305281,1190026737343594496,Thailand,Twitter for iPhone,"['뷔', '김태형', 'BTSV', '슈가', '민윤기', 'SUGA', 'BTS']"
81,1293,945832524311343104,1190026744721485824,Korea,Twitter for iPhone,"['JIMIN', 'BTS']"
82,1304,818671251866517505,1190026758638260224,Vietnam,Twitter for Android,['BTS']
83,1340,1089630753925738496,1190026786039631873,México,Twitter Web App,['MAMAVOTE']
84,1341,1068880000701489152,1190026787776016387,Korea,Twitter for Android,['MAMA2019']
85,1346,1038672372994195457,1190026791043383296,Korea,Twitter for Android,"['태형', '뷔', '방탄소년단', 'BTS', 'V']"
86,1355,1030147574475436032,1190026799113277440,México,Twitter for Android,
87,1356,738087901100048385,1190026799796891651,United States,Twitter for iPhone,['BTSxTarget']
88,1366,888186166335418370,1190026806654619649,United States,Twitter for iPhone,"['MAMAVOTE', 'BTS']"
89,1370,4182766460,1190026809255092224,México,Twitter for Android,
90,1382,957608290162114560,1190026819161878528,Korea,Twitter for iPhone,"['정국', '지민', 'JK', 'JM']"
91,1475,1003369673134571520,1190026906793644033,México,Twitter for Android,
92,1488,892348891923755008,1190026914121035777,Korea,Twitter for Android,"['방탄소년단', 'BTS']"
93,1508,945108257420357633,1190026929497366528,United States,Twitter Web App,
94,1514,1047164267575693312,1190026932819087360,Thailand,Twitter for Android,"['MMA2019', 'EXO', 'BEN', 'LeeSora', 'MCtheMAX']"
95,1533,2174522565,1190026945490231297,Philippines,Twitter for Android,"['2019MAMA', '방탄소년단', 'BTS', 'BTS']"
96,1535,1043617154040508417,1190026947222487041,Brasil,Twitter Web App,"['halloween2019', 'happpyhalloween', 'BTS']"
97,1574,962691755249344513,1190026975294963713,Korea,Twitter for Android,
98,1745,2884833348,1190027123416870912,Indonesia,Twitter for Android,['BTS']
99,1774,1070126313359298562,1190027145130790925,Philippines,Twitter for Android,
100,1780,1105629986650648577,1190027150868414464,Malaysia,Twitter for Android,['BTS']
101,1782,729026530077106176,1190027152873394176,Philippines,Twitter for Android,"['MAMAVOTE', 'Bts']"
102,1810,54193074,1190027177686753280,United States,Twitter for iPhone,
103,1815,959267215303360513,1190027189686808576,Korea,Twitter for iPhone,"['MAMAVOTE', 'BTS']"
104,1823,749745466678480896,1190027195844104196,México,Twitter for iPhone,"['MAMAVOTE', 'BTS']"
105,1850,1079277178716532737,1190027217079848970,Indonesia,Twitter for Android,"['정국', 'JUNGKOOK', 'BTS']"
106,1852,362287245,1190027219843866624,México,Twitter for Android,"['MAMAVOTE', 'BTS']"
107,1891,1180736674692620290,1190027246473535489,Indonesia,Twitter for Android,"['MAMAVOTE', 'BTS']"
108,1893,1030004936807931904,1190027246783864832,Korea,Twitter for Android,"['TAEKOOK', 'SPEAKYOURSELFTHEFINAL', 'SpeakYourselfTheFinal_D2']"
109,1900,955440192793427971,1190027255617114115,Korea,Twitter for Android,"['괜찮아사랑해', 'JIMIN', 'MAMAVOTE', 'BTS']"
110,1914,4842975388,1190027267944177669,Brasil,Twitter for Android,"['MAMAVOTE', 'bts']"
111,1925,994546290582142976,1190027274348720128,日本,Twitter for iPhone,"['BTS', 'ジョングク']"
112,1977,1061960706407321601,1190027316044288000,日本,Twitter for iPhone,"['TillNextTimeJimtober', 'JIMIN', '지민', '괜찮아사랑해', 'BTS', '방탄소년단']"
113,1983,1003447057582043137,1190027319387267072,United States,Twitter for iPhone,"['BTS', 'SpeakYourselfTheFinal', 'giveaway']"
114,1989,929950687814758400,1190027321878700034,Thailand,Twitter for Android,
115,1990,922042350360133632,1190027324172820480,Korea,Twitter for Android,"['BTS', '방탄소년단', 'JIMIN', '지민']"
116,2010,1417360104,1190027338173435905,Korea,Twitter for Android,"['BTS', '방탄소년단진', '방탄진', 'JIN', '진', '석진', 'SEOKJIN', '김석진']"
117,2011,1006127175051894784,1190027338668544000,日本,Twitter for iPhone,"['bts', 'MAMAVOTE']"
118,2021,827787434595328001,1190027351377285120,United States,Twitter for iPhone,"['MAMAVOTE', 'BTS']"
119,2029,942304379960471552,1190027353524756480,México,Twitter for Android,"['Seokjin', '김석진', 'BTS', 'Epiphany', 'A']"
120,2034,1131695969475616769,1190027360180957184,Korea,Twitter for Android,
121,2059,4206532933,1190027381114847235,United States,Twitter for Android,['BTSxTarget']
122,2081,1024046868198608896,1190027402048671746,Korea,Twitter for Android,"['MAMAVOTE', 'BTS']"
123,2087,896899400185688064,1190027411267538944,Philippines,Twitter for iPad,
124,2104,939297929830973440,1190027423645126658,Philippines,Twitter for Android,
125,2124,962961029398278144,1190027439948386304,Philippines,Twitter for Android,"['윤기', 'SUGA', 'BTS']"
126,2134,959716335205822465,1190027445786873856,日本,Twitter for iPhone,"['2019MAMA', 'MAMA', 'MnetAsianMusicAwards', '防弾少年団', 'BTS']"
127,2148,1063822313747996672,1190027457006460930,Indonesia,Twitter for Android,['BTS']
128,2150,1010865754655244291,1190027459779088390,Philippines,Twitter for Android,['지민']
129,2181,254751469,1190027492121182208,Philippines,Twitter for Android,
130,2191,924401963122462720,1190027505064927232,México,Twitter for Android,"['MAMAVOTE', 'BTS']"
131,2212,934248322130378752,1190027515865247744,United States,Twitter for iPhone,
132,2220,2841141776,1190027521628131329,Korea,Twitter Web App,['정국']
133,2235,1127122817525223430,1190027530629271552,Korea,Twitter for Android,"['MAMAVOTE', 'BTS']"
134,2247,871252590415171584,1190027539135098881,Korea,Twitter for Android,"['MAMAVOTE', 'BTS']"
135,2250,930313011213905921,1190027541781848069,Korea,Twitter for iPhone,"['지민', 'JIMIN', 'BTS']"
136,2257,1110504900583026688,1190027547507081216,Indonesia,Twitter for Android,['BTS']
137,2280,1036848919521587201,1190027563399168000,日本,Twitter for iPhone,"['MAMAVOTE', 'bts']"
138,2297,1014857934038171648,1190027588066062336,Indonesia,Twitter Web App,"['halloween2019', 'happpyhalloween', 'BTS']"
139,2310,1014823836146024449,1190027599881351170,Indonesia,Twitter for Android,
140,2363,955379160603602947,1190027638968135681,Brasil,Twitter for Android,
141,2364,960066396464934912,1190027639790194695,Korea,Twitter for Android,"['뷔', 'V', 'taehyung', '태형', '김태형', '태태', '방탄소년단', 'BTS', '防弾少年団', 'BTSV']"
142,2382,1166459378276478983,1190027654076018688,Brasil,Twitter for Android,
143,2398,1034920682361040896,1190027659201449986,Korea,Twitter for Android,"['RM', '남준', 'BTS']"
144,2411,1070115068505817088,1190027668701564928,Indonesia,Twitter for Android,
145,2413,1139508032608411648,1190027670379212800,Indonesia,Twitter for Android,"['halloween2019', 'happpyhalloween', 'BTS']"
146,2474,3520864580,1190027707993743360,Korea,Twitter for Android,"['MAMAVOTE', 'BTS']"
147,2496,1014785861412507649,1190027723676237829,Korea,Twitter for Android,"['BTS', 'JHOPE', 'JUNGKOOK']"
