;user_id;tweet_id;location;source;hashtags
76072;923968301918597120;1190067727060238347;?????????????, ?????????;Twitter for Android;'MAMAVOTE', 'BTS'
76079;2845827260;1190067734312128512;Indonesia;Twitter for iPhone;
76086;708972139831898112;1190067737092976640;Seoul, Republic of Korea;Twitter for Android;'BTS'
76109;2410757160;1190067751747850241;Republic of the Philippines;Twitter for Android;
76149;1091178462574825473;1190067775030513664;Republic of the Philippines;Twitter for Android;'MAMAVOTE', 'BTS'
76152;1099187997742981120;1190067777564008448;Mexico;Twitter for Android;
76182;945783374404231169;1190067796434010112;??;Twitter for Android;'MAMAVOTE', 'bts'
76192;1136889472367222784;1190067801697873921;Indonesia;Twitter for iPhone;'MAMAVOTE', 'bts'
76236;911846978371313665;1190067829233479681;??;Twitter for iPhone;'MAMAVOTE', 'BTS'
76259;286526580;1190067844140040192;?????????;Twitter for Android;
76295;861219301834989568;1190067867405832192;Indonesia;Twitter for Android;
76301;967295916389449729;1190067872086626304;Indonesia;Twitter for Android;'BTS'
76322;1102560085471981575;1190067883964919808;?????????????, ?????????;Twitter for iPhone;'TAEHYUN', 'KimTaehyung', 'bts', 'btsfanart', 'ArtistOnTwitter', 'Halloween'
76325;1018440802119241733;1190067887274201088;Viet Nam;Twitter for Android;'bts', '?????', 'Jhope', 'jhope', '???', '??', '???'
76335;916848307418394624;1190067892441755649;United States;Twitter for iPhone;'?????', 'BTS'
76370;3285090602;1190067918131752960;Malaysia;Twitter for iPhone;
76377;1940106506;1190067920132395008;Thailand;Twitter for iPhone;'SpeakYourselfTheFinal', 'MAMAVOTE', 'BTS'
76395;802699397821673472;1190067929749962752;????;Twitter for iPhone;'?????', 'BTS'
76408;1157618310734729216;1190067935198400513;Seoul, Republic of Korea;Twitter for Android;'BTS'
76416;1033620357347827712;1190067942177697792;Indonesia;Twitter for Android;'???', '???', 'JHOPE', '?????', 'BTS'
76435;922484872047820800;1190067956425707520;Republic of the Philippines;Twitter for Android;'MAMAVOTE', 'BTS'
76464;803139177717972992;1190067977443373057;Indonesia;Twitter for Android;'MAMAVOTE', 'BTS'
76488;798291773340545024;1190067998226178050;Indonesia;Twitter for Android;'MAMAVOTE', 'BTS'
76492;894526706043592704;1190068002533756928;Thailand;Twitter for iPhone;'TAEHYUN', 'KimTaehyung', 'bts', 'btsfanart', 'ArtistOnTwitter', 'Halloween'
76556;952040835301847040;1190068042706800640;??;Twitter for Android;
76567;1116993304577490944;1190068048004145152;Indonesia;Twitter for Android;
76575;80980429;1190068054740414464;Brasil;Twitter for Android;
76578;762416246;1190068057978347520;Brasil;Twitter for Android;'?????', '???', '??????', 'bts', 'jhope', 'ChickenNoodleSoup'
76619;987973816000303106;1190068087212494848;Malaysia;Twitter for Android;'BTS'
76620;967094823990644736;1190068089192210432;?????????????, ?????????;Twitter for Android;'halloween2019', 'happpyhalloween', 'BTS'
76643;1092230342088499201;1190068104619053056;United States;Twitter for iPhone;'bts', 'grammys2020'
76733;806525529499189248;1190068161279709185;?????????????, ?????????;Twitter for iPhone;
76779;855198565;1190068187980816385;Mexico;Twitter for Android;
76787;1025703231932911617;1190068195350073344;Republic of the Philippines;Twitter for Android;
76788;1145975960442793984;1190068195614322689;Indonesia;Twitter for Android;'BTS'
76819;1068836733893074945;1190068213876318210;Indonesia;Twitter for Android;'BTS'
76837;971260754103095296;1190068224693436420;????;Twitter for Android;
76891;841296996103159808;1190068259707473925;?????????;Twitter for Android;'BTS'
76925;1006072599451848705;1190068278321766400;??;Twitter for Android;'2019MAMA', 'MAMA', 'MnetAsianMusicAwards'
76935;813986452652654592;1190068283824672769;?????????;Twitter for Android;'halloween2019', 'happpyhalloween', 'BTS'
76945;1189945089893818373;1190068286286901248;Brasil;Twitter for Android;'BTS', 'MAMAVOTE'
77029;1120975168157831176;1190068332889657344;Republic of the Philippines;Twitter for Android;
77040;3183497052;1190068337943801856;?????????????, ?????????;Twitter for Android;'???', '?', 'TAEHYUNG', 'V', '?????', 'BTS'
77057;1083895103759020033;1190068346622038019;???? ??;Twitter for Android;
77102;567025416;1190068373813522432;Thailand;Twitter for iPhone;'BTS'
77110;997613435603963904;1190068379018764289;Republic of the Philippines;Twitter for Android;
77124;1107287617668734976;1190068387071680517;?????????;Twitter for Android;'BTS'
77131;1052593112491540485;1190068391844839424;?????????????, ?????????;Twitter for Android;'BTS'
77165;924949637668118529;1190068409326657537;?????????;Twitter for Android;'BTS', 'JIMIN', '??'
77174;1019247024074625024;1190068415492313088;Malaysia;Twitter for Android;
77198;1040001196944056320;1190068428708536320;Mexico;Twitter for Android;'BTS'
77199;1086366635034726401;1190068432688971776;??;Twitter Web App;'Jungkook', 'BTS'
77210;3302535486;1190068437969600517;Malaysia;Twitter for iPhone;
77222;858147103180177408;1190068450535727104;Indonesia;Twitter for Android;'BTS'
77246;1170236717229412353;1190068463483514880;?????????;Twitter for Android;'MAMAVOTE', 'BTS'
77257;1015444626960941056;1190068470328778752;Mexico;Twitter for Android;'BTS'
77266;1014781022586658816;1190068459511508992;Republic of the Philippines;Twitter for Android;'halloween2019', 'happpyhalloween', 'BTS'
77289;1080850145405620225;1190068486006947840;Republic of the Philippines;Twitter for Android;'MAMAVOTE', 'bts'
77301;135152938;1190068492742955008;Malaysia;Twitter for Android;'?????', 'BTS', '???', 'RM', 'NAMJOON'
77314;1019552934592315392;1190068499311292416;Republic of the Philippines;Twitter for iPhone;
77326;1066323096473296896;1190068506378719232;??;Twitter for iPhone;'BTS'
77395;1155469449849257984;1190068564771790848;??;Twitter Web App;'MAMAVOTE', 'bts'
77409;1011448017679814657;1190068570039840768;???? ??;Twitter for iPhone;'?', 'V', 'taehyung', '??', '???', '??', '?????'
77414;953230326788063233;1190068571881082882;Republic of the Philippines;Twitter for iPhone;
77427;1180020740877209600;1190068578155843584;??;Twitter for iPhone;'MAMAVOTE', 'bts'
77440;906479290602070016;1190068584950579200;????;Twitter for Android;'?????', 'BTS'
77460;165115518;1190068598665957376;????;Twitter for iPhone;'MAMAVOTE', 'bts'
77518;735623779246706688;1190068637253566464;Seoul, Republic of Korea;Twitter for Android;
77521;954973993;1190068638729953282;Indonesia;Twitter for Android;'BTS'
77527;849558219986841600;1190068642957811712;???? ??;Twitter for iPhone;'BTS', '??????', '???', 'JIN', '?', '??', 'SEOKJIN', '???'
77561;186346543;1190068663136571392;Mexico;Twitter for Android;'BTS', '?????', 'JIMIN', '??'
77574;994950487962107905;1190068670048817153;Thailand;Twitter for iPhone;'BTS'
77605;767134129;1190068686599507968;Indonesia;Twitter for Android;'BTS'
77607;105021199;1190068686867951617;Thailand;Twitter for Android;'MAMAVOTE', 'BTS'
77614;848247305115287552;1190068691389468674;?????????????, ?????????;Twitter for Android;'2019MAMA', 'BTS', 'MAMAVOTE'
77660;4678070214;1190068717901643776;?????????;Twitter for Android;'??', 'JIMIN', '?????', 'BTS', '???', '???', 'JIMINinlove', 'JIMIN???', 'JIMIN???'
77661;1004761248573972481;1190068721278054401;Indonesia;Twitter for Android;'MAMAVOTE', 'BTS'
77672;379521066;1190068727212990464;Seoul, Republic of Korea;Twitter for Android;
77711;1056442956419198976;1190068753368641536;Malaysia;Twitter for Android;'MAMAVOTE', 'BTS'
77735;759628429054443520;1190068763921502208;Malaysia;Twitter for Android;'BTS'
77743;1139521231772766208;1190068770405933056;Indonesia;Twitter for Android;'BTS'
77746;1021641881464102913;1190068771123163136;???? ??;Twitter for Android;
77757;1032481229906403328;1190068774763761665;Malaysia;Twitter for Android;
77772;1058161270761746432;1190068782129020929;Republic of the Philippines;Twitter for iPhone;'BTS'
77784;2284993344;1190068788210720768;?????????????, ?????????;Twitter for Android;'BTS'
77789;248136603;1190068790014300160;Thailand;Twitter for iPhone;
77818;1051083076430749696;1190068806057517056;Thailand;Twitter for Android;'BTS'
77843;860055797652271104;1190068816484528128;Indonesia;Twitter for Android;'?', '???', 'BTSV', '??', '???', 'SUGA', 'BTS'
77852;970597610623938561;1190068823505768449;United States;Twitter for Android;
77882;991430953540009984;1190068840622723072;Indonesia;Twitter for Android;
77898;1119842297212854273;1190068848239603712;Indonesia;Twitter for Android;
77917;803127175771602944;1190068863997579265;Republic of the Philippines;Twitter for Android;
77948;960878087197016064;1190068885401157632;Malaysia;Twitter for Android;
77982;1079424637388214272;1190068911686815745;Indonesia;Twitter for Android;'BTS'
78025;241888450;1190068941110071296;Brasil;Twitter for Android;'BTS'
78051;1066641470533189632;1190068957572521984;?????????????, ?????????;Twitter for Android;'BTS'
78074;1014729134944104448;1190068970008666113;Mexico;Twitter for Android;'BTS', '??????', '???', 'JIN', '?', '??', 'SEOKJIN', '???'
78089;945542125164392449;1190068976434499586;United States;Twitter for iPhone;'?', 'V', 'taehyung', '??', '???', '??', '?????', 'BTS'
78094;898368218540105730;1190068977600319488;???? ??;Twitter for iPhone;'?????', 'BTS', '???', 'RM', 'NAMJOON'
78095;1008873770583379968;1190068978489516034;????;Twitter Web App;
78105;628259612;1190068985275940864;Indonesia;Twitter for iPhone;'BTS'
78114;1059580237669916674;1190068992578379776;???? ??;Twitter for iPhone;'JIMIN', 'BTS'
78128;2419070312;1190069001029734400;??;Twitter for iPhone;'Jungkook', 'BTS'
78139;1124347909170876417;1190069007853879296;???? ??;Twitter for Android;'?????', 'BTS'
78145;823206034344792065;1190069013809745920;????;Twitter for Android;'?????', 'BTS'
78158;618972733;1190069020965269506;Seoul, Republic of Korea;Twitter Web App;'JIMIN', 'BTS'
78177;1116917459649302528;1190069031526531072;Indonesia;Twitter for Android;'MAMAVOTE', 'BTS'
78207;1891853107;1190069047645237249;Indonesia;Twitter for Android;
78214;944373309579202561;1190069050543505408;????;Twitter for Android;'CouplesCostume', 'HappyHalloween', 'BTS', 'JIMIN'
78229;718595114281476096;1190069061482233856;????;Twitter for Android;'BTS'
78274;3189723672;1190069087562416128;?????????????, ?????????;Twitter for iPhone;'BTS'
78282;1081952216951312384;1190069093916823552;Seoul, Republic of Korea;Twitter for iPhone;
78341;948496810527531008;1190069138829410304;Viet Nam;Twitter for Android;
78348;1149583752;1190069141970931712;Indonesia;Twitter for Android;'MAMAVOTE', 'BTS'
78349;823840712726757376;1190069142486781952;Republic of the Philippines;Twitter for Android;'BTS'
78358;1081033855350554625;1190069153215979521;Brasil;Twitter for Android;
78362;993420394731208704;1190069153526210561;?????????;Twitter for Android;'BTS'
78363;235008214;1190069153924669440;Thailand;Twitter for Android;
78384;1144533865731510272;1190069164158771200;Indonesia;Twitter for iPhone;'BTS', 'MAMAVOTE'
78388;1130316166528847872;1190069166323064832;Indonesia;Twitter Web App;'BTS'
78413;932789294644658177;1190069181833592833;???? ??;Twitter for Android;'BTS'
78414;1140911170037010432;1190069182504656896;???? ??;Twitter for Android;'MAMAVOTE', 'BTS'
78473;1187713590607798273;1190069224577757185;??;Twitter for Android;'MAMAVOTE', 'bts'
78477;1041314301800140806;1190069226264039424;United States;Twitter for iPhone;'BTS'
78543;809942810392662016;1190069266004901888;Malaysia;Twitter for Android;
78565;1000400901876535298;1190069282341711873;Thailand;Twitter for Android;'BTS'
78568;996087190227742720;1190069284174811136;United States;Twitter for Android;
78573;1046720623412760577;1190069286389321728;Brasil;Twitter for Android;
78578;1179722140263669760;1190069289631416320;Indonesia;Twitter for Android;
78590;869041678325137408;1190069297701220352;Malaysia;Twitter for Android;'MAMAVOTE', 'bts'
78595;1013827401636167680;1190069300171657217;?????????????, ?????????;Twitter for Android;'BTS'
78603;1117636192478957568;1190069303522942976;Indonesia;Twitter for Android;'MAMAVOTE', 'BTS'
78613;1008786793658044423;1190069310246526976;Brasil;Twitter for Android;'BTS', 'MAMAVOTE'
78628;966262459173449728;1190069319884931074;???? ??;Twitter for iPhone;'MAMAVOTE', 'BTS'
78642;2852006982;1190069329544396800;???? ??;Twitter for Android;'MAMAVOTE', 'bts'
78658;896029776837738496;1190069338746900481;United States;Twitter for iPhone;'BTS', 'MinYoongi'
78726;818802141728894976;1190069383718031360;Thailand;Twitter for Android;'MAMAVOTE', 'bts'
78732;1046348389347000320;1190069388340154368;??;Twitter for iPhone;'BTS'
78745;1092584175021015041;1190069393075691521;Brasil;Twitter for Android;
78800;998537325796732929;1190069423421284354;???? ??;Twitter for iPhone;'??'
78819;828747823982129152;1190069435920347136;???? ??;Twitter for iPhone;'?????', 'BTS'
78835;1146394257965498369;1190069449589579776;??;Twitter for Android;'MAMAVOTE', 'bts'
78852;1183239338009587712;1190069461061029888;????;Twitter for iPhone;'JIMIN', 'BTS'
78862;1144978800473563136;1190069470141616128;Republic of the Philippines;Twitter for Android;'MAMAVOTE'
78876;984305461426995200;1190069479876841473;United States;Twitter Web App;
78887;2423685750;1190069489762594816;Indonesia;Twitter for Android;'BTS', 'MAMAVOTE'
78899;2919749880;1190069498696491008;Malaysia;Twitter for Android;
78901;730120860;1190069500533567491;Indonesia;Twitter for Android;'BTS'
78978;984309635665477632;1190069546113216512;United States;Twitter Web App;
79022;874544848899944448;1190069575078928384;Indonesia;Twitter for Android;
79039;883189666475671552;1190069586823012352;Thailand;Twitter for iPhone;
79041;909053684390039552;1190069588005773312;?????????????, ?????????;Twitter for Android;'BTS'
79061;184190136;1190069600815370240;United States;Twitter for Android;'bts', 'BTSArmy'
79092;188332723;1190069623405703169;Malaysia;Twitter for iPhone;
79099;1090297047318581248;1190069627839078400;?????????????, ?????????;Twitter for Android;'??', 'JUNGKOOK', 'JK', '?????', 'BTS_SY_FANAL', 'MAMAVOTE', 'BTS'
79110;2846967282;1190069632641536000;????;Twitter for Android;'?????', 'BTS'
79120;1014867152334094336;1190069637909643265;Republic of the Philippines;Twitter for Android;
79139;132689217;1190069648420564993;Mexico;Twitter for Android;'MONSTA_X', 'BTS', 'BLACKPINK', 'TWICE', 'JHOPE', 'TAEYEON', 'PSY'
79149;983177615367225345;1190069654414213120;Indonesia;Twitter for iPhone;
79160;804072093482631168;1190069660005421056;Mexico;Twitter for Android;
79205;964739671505817600;1190069686915846145;?????????;Twitter for Android;'BTS'
79208;1047838587142598658;1190069688107028481;Seoul, Republic of Korea;Twitter for Android;'MAMAVOTE', 'bts'
79214;786224305713491968;1190069691449925632;?????????;Twitter for Android;'BTS'
79255;199561343;1190069714707304448;???? ??;Twitter for Android;'SBS????', 'SBSStar', 'EntertainmentNews', 'KPOP', '?????', 'BTS'
79257;981485206421975040;1190069716473151489;Indonesia;Twitter for Android;
79261;3233909712;1190069719438639104;United States;Twitter for Android;'bts', 'btspins', 'ARMY', 'BTSARMY', 'btsfanart', 'btsfanmade', 'kimnamjoon', 'kimseokjin', 'minyoongi'
79286;1117404912168529922;1190069735423004672;Indonesia;Twitter for Android;
79386;855242440260804610;1190069799419695104;Indonesia;Twitter for iPhone;
79402;799137581149495297;1190069807942524929;Malaysia;Twitter for Android;'MAMAVOTE', 'BTS'
79409;375102530;1190069816024952832;Indonesia;Twitter for Android;
79419;850914416283402240;1190069821930536960;Indonesia;Twitter for Android;
79432;937346270477271040;1190069828444229632;??;Twitter for Android;
79442;4565960558;1190069833578106881;?????????????, ?????????;Twitter for iPhone;'?', '???', 'BTSV', '??', '???', 'SUGA', 'BTS'
79444;477578895;1190069834769293312;Republic of the Philippines;Twitter for iPhone;'BTS'
79497;1099968620560445440;1190069873361080321;Seoul, Republic of Korea;Twitter for Android;'halloween2019', 'happpyhalloween', 'BTS'
79511;606072495;1190069887663652865;Indonesia;Twitter for Android;
79514;1088750941568827392;1190069888850616320;Malaysia;Twitter for Android;'MAMAVOTE', 'bts'
79525;1168037174001819649;1190069895188205569;Indonesia;Twitter for Android;
79543;965261163100487680;1190069906319917056;Malaysia;Twitter for Android;
79545;4229982132;1190069908270280704;?????????;Twitter for iPhone;'BTS'
79550;1005435676383309825;1190069911541841926;Republic of the Philippines;Twitter for Android;
79572;1031431546840838144;1190069925081038849;???? ??;Twitter for Android;'BTS'
79574;1108342156807147520;1190069926142201856;????;Twitter for iPhone;'LoveMyself', '?????', 'BTS'
79593;1182997784120549376;1190069937190002688;??;Twitter for Android;'MAMAVOTE', 'BTS'
79627;1138487400810786816;1190069960728600576;Seoul, Republic of Korea;Twitter for Android;
79689;788532208613068801;1190069999731384320;United States;Twitter for Android;'BTS'
79714;1011541585341775872;1190070012054163456;Indonesia;Twitter for iPhone;
79775;795476713660518400;1190070051015020544;???? ??;Twitter for Android;'?????', 'BTS'
79854;1167717738153795584;1190070096707776512;Indonesia;Twitter for Android;
79863;1012941692347928576;1190070103326347265;Seoul, Republic of Korea;Twitter for Android;'JIMIN', 'BTS'
79871;1111882881192742912;1190070107038306304;Indonesia;Twitter for Android;
79897;957924112160104451;1190070124977348608;????;Twitter for Android;'??', 'JUNGKOOK', 'BTS'
79923;901102711646453761;1190070137497341952;United States;Twitter for iPhone;
79961;2217982111;1190070153922383874;Malaysia;Twitter for Android;
79969;3317779387;1190070158657646592;?????????????, ?????????;Twitter for iPhone;'BTS'
79986;1069609724344070144;1190070166916222976;Indonesia;Twitter for Android;'halloween2019', 'happpyhalloween', 'BTS'
79990;1001373374554062850;1190070168333848576;Indonesia;Twitter for Android;'BTS'
79998;1053973194279796736;1190070173559975937;Indonesia;Twitter for Android;
80011;1049639255310360576;1190070182015717378;?????????????, ?????????;Twitter for Android;'BTS'
80021;1115468270683836417;1190070185819901952;?????????;Twitter for Android;'BTS'
80027;829016111848894464;1190070189729050625;Viet Nam;Twitter for iPhone;
80033;824496948551970816;1190070197891170304;Indonesia;Twitter for Android;'BTS', 'RM', 'JIN', 'SUGA'
80038;1358498083;1190070202743918592;Republic of the Philippines;Twitter Web App;'MAMAVOTE', 'bts'
80059;1070304234204065793;1190070210209779712;Indonesia;Twitter for Android;'BTS'
80102;4702053926;1190070237099524096;???? ??;Twitter for Android;
80115;4157240592;1190070246230478849;Seoul, Republic of Korea;Twitter for Android;
80183;1146399839254528000;1190070282418937856;??;Twitter for iPhone;'MAMAVOTE', 'bts'
80191;954142134365335552;1190070288592957440;??;Twitter for iPhone;'BTS????', '???', 'BTS??', 'BTS???'
80196;1018500964897026048;1190070290434314241;??;Twitter for iPhone;'2019MAMA', '?????', 'BTS', 'BTS'
80243;351202988;1190070315776241665;????;Twitter for iPhone;
80257;919583568556318721;1190070321803456512;Seoul, Republic of Korea;Twitter for iPhone;'??', 'BTS', 'JUNGKOOK'
80280;1072340714003021826;1190070337284820999;Mexico;Twitter for Android;'MAMAVOTE', 'bts'
80321;845321597036650496;1190070359476719616;?????????;Twitter for Android;'BTS', '?????', '??', '???', 'JUNGKOOK'
80383;965059590596390913;1190070396390756352;?????????????, ?????????;Twitter for Android;'BTS'
80408;1097110494312165382;1190070412828278784;Indonesia;Twitter for Android;'halloween2019', 'happpyhalloween', 'BTS'
80428;768991867279056896;1190070426455724035;Mexico;Twitter for Android;
80447;96896693;1190070440623919105;?????????????, ?????????;Twitter for Android;'?', 'BTSV', '??', 'TAEHYUNG', '?????', 'BTS'
80492;1909837501;1190070462929203201;?????????;Twitter for iPhone;'??', 'JIMIN', '?????', 'BTS', '???', '???', 'JIMINinlove', 'JIMIN???', 'JIMIN???'
80560;791500830360776704;1190070506449330176;United States;Twitter for iPhone;'BTS'
80572;290096273;1190070510379421702;?????????????, ?????????;Twitter for iPhone;
80600;952393298039074816;1190070525248172037;????;Twitter for iPhone;'?????', '??', 'BTS', 'JK', 'JUNGKOOK'
80635;1036355634;1190070542327566337;Brasil;Twitter for Android;
80644;1100343353378406406;1190070545645109248;Seoul, Republic of Korea;Twitter for Android;'BTS'
80647;1077234025041821696;1190070549524779008;???? ??;Twitter for Android;'BTS', 'MakeItRight', 'BTSxLauv'
80683;3320331150;1190070575533674496;Thailand;Twitter for iPhone;'bts', '?????', 'Jhope', 'jhope', '???', '??', '???'
80709;1066256191985078272;1190070600678572032;??;Twitter for iPhone;
80720;854916179453812736;1190070605439090688;???? ??;Twitter for Android;'??', 'JUNGKOOK', 'BTS'
80723;135504818;1190070608551268352;Indonesia;Twitter for Android;
80728;1131720769128534017;1190070610875027457;???? ??;Twitter Web App;'?????', '???', '??????', 'bts', 'jhope', 'ChickenNoodleSoup'
80771;951644325133168640;1190070637852647424;Republic of the Philippines;Twitter for Android;
80774;856329074188271616;1190070639740084224;Indonesia;Twitter for Android;'BTS'
80797;799430310;1190070653786972162;United States;Twitter for Android;'BTS'
80835;1082627728061325312;1190070674481500165;Seoul, Republic of Korea;Twitter for Android;'mma2019', 'mma', '???', '??', '???????', '??', '???', 'JIMIN', '????'
80841;1709934817;1190070677048397824;Indonesia;Twitter for Android;
80847;2864743455;1190070678906499072;Thailand;Twitter for iPhone;'BTS', '?????', '??', '??', '???', 'SUGA'
80850;1012228628049022977;1190070680156553222;Mexico;Twitter for Android;'MAMAVOTE', 'BTS'
80880;729180285267382276;1190070699643162625;?????????;Twitter for Android;'BTS', '?????', 'SUGA', '??', '???', '??'
80898;1051280091089489920;1190070712444211202;Viet Nam;Twitter for Android;'BTS'
80935;3724407372;1190070736271986689;Indonesia;Twitter Web App;'MAMAVOTE', 'BTS'
80941;886233288347492352;1190070740336267264;????;Twitter for Android;'?', 'V', 'taehyung', '??', '???', '??', '?????', 'BTS'
80947;1009315139399479296;1190070744052457472;Thailand;Twitter for iPhone;'?', 'V', 'taehyung', '??', '???', '??', '?????', 'BTS', '?????', 'BTSV'
80968;968316297137283072;1190070759978176512;Indonesia;Twitter for Android;'BTS'
80994;1128257355278196736;1190070771894251520;Republic of the Philippines;Twitter for Android;'MAMAVOTE', 'BTS'
81001;1094819690919030784;1190070776549953536;Seoul, Republic of Korea;Twitter for Android;'BTS'
81026;624495884;1190070790881832960;Republic of the Philippines;Twitter for Android;'BTS'
81090;1050948936079294466;1190070830123798528;????;Twitter for Android;'??', 'JIMIN', 'BTS', '?????'
81115;1652604295;1190070844770242561;Indonesia;Twitter for Android;'MAMAVOTE', 'BTS'
81152;1153015911353393155;1190070872457003008;Mexico;Twitter for Android;
81188;1163452429465083905;1190070899170369537;Seoul, Republic of Korea;Twitter for iPhone;'BTS'
81195;1072844647506993152;1190070902844612608;????;Twitter for iPhone;'?????', 'BTS'
81196;1031424017574416385;1190070903687614464;???? ??;Twitter for Android;'?', 'V', 'taehyung', '??', '???', '??', '?????', 'BTS', '?????', 'BTSV'
81204;2525171982;1190070908326531073;?????????;Twitter for iPhone;'TAEHYUN', 'KimTaehyung', 'bts', 'btsfanart', 'ArtistOnTwitter', 'Halloween'
81223;1027902901631508480;1190070921668825089;Seoul, Republic of Korea;Twitter for Android;
81258;960138795524878337;1190070937728638976;?????????;Twitter for Android;
81260;2614755422;1190070941604139008;Viet Nam;Twitter for iPhone;'BTS'
81400;1860739537;1190071051188727809;Indonesia;Twitter for Android;'BTS'
81402;807182863716130817;1190071051666878470;Indonesia;Twitter for iPhone;'BTS', 'MAMAVOTE'
81408;874167033553854464;1190071055177486337;Malaysia;Twitter for iPhone;'BTS'
81424;610412932;1190071066435174400;Seoul, Republic of Korea;Twitter for Android;'HappyHalloween', 'halloween2019', 'BTS'
81435;164488193;1190071077029982211;Mexico;Twitter for Android;'MAMAVOTE', 'BTS'
81439;1051039559721480193;1190071081056395264;Indonesia;Twitter for Android;
81448;862629777944879104;1190071088652288000;Republic of the Philippines;Twitter for Android;'MAMAVOTE', 'bts'
81451;1035857489076449280;1190071091395350528;Seoul, Republic of Korea;Twitter for Android;
81462;1120263702563835904;1190071099557433344;Indonesia;Twitter for Android;
81483;891124577681547265;1190071112933101568;?????????;Twitter for Android;'BTS'
81500;1103701755584438272;1190071123804737536;Seoul, Republic of Korea;Twitter for Android;
81516;2287850332;1190071133720039425;Indonesia;Twitter for Android;'SUGA', 'MAMAVOTE', 'BTS'
81531;900411289041752065;1190071152107896832;??;Twitter for iPhone;'BTS', 'Lights', 'BoyWithLove'
81581;949634023785037824;1190071189105831936;??;Twitter for Android;'MAMAVOTE', 'BTS'
81602;845803324100218880;1190071203894968320;????;Twitter for Android;'BTSSPEAKYOURSELFTOURFINAL', 'BTS', '?????'
81619;1114899433563381760;1190071210022854656;Indonesia;Twitter for Android;
81623;2228268190;1190071211989929984;Indonesia;Twitter for Android;
81639;981369572379906048;1190071222454743040;Indonesia;Twitter for Android;'??', 'JUNGKOOK', 'BTS'
81655;3101662442;1190071233892634624;Thailand;Twitter for iPhone;'???', '?', '?????', 'bts', 'MAMAVOTE'
81659;1042047099976802304;1190071235994013696;??;Twitter for Android;'BTS'
81676;2290694107;1190071242272804864;Indonesia;Twitter Web App;'2019MAMA', '?????', 'BTS', 'BTS'
81685;1102746533856858112;1190071247826124800;?????????????, ?????????;Twitter for Android;'BTS'
81695;91005083;1190071253601636352;??;Twitter for Android;'BTS'
81718;1962620820;1190071267530964992;?????????;Twitter for Android;'BTS'
81744;909576815118655490;1190071286891892736;Indonesia;Twitter for Android;'BTS', 'MAMAVOTE'
81754;874696574533853185;1190071291883196416;United States;Twitter for Android;'BTS'
81792;1030605702;1190071310677762048;Indonesia;Twitter for Android;'2019MAMA', '?????', 'BTS', 'BTS'
81827;244960665;1190071328327389185;????;Twitter Web Client;'MAMAVOTE', 'BTS'
81836;1076204496529678336;1190071332815290369;????;Twitter for iPhone;'MAMAVOTE', 'BTS'
81872;1027866178822131712;1190071348107702272;Seoul, Republic of Korea;Twitter for Android;
81879;1157548660231528448;1190071353149247488;??;Twitter for Android;
81883;1000890583609524224;1190071355305185280;Indonesia;Twitter for Android;'BTS'
81896;1185673304713191425;1190071364780093440;Mexico;Twitter for iPhone;'MAMAVOTE', 'BTS'
81913;131065729;1190071372380344320;Mexico;Twitter for Android;'BTS'
81946;857757456323170304;1190071388482093058;Indonesia;Twitter for Android;'MAMAVOTE', 'BTS'
81950;1005853192469397505;1190071389782331392;Indonesia;Twitter for Android;'BTS'
81965;813040677827186688;1190071399257276419;Thailand;Twitter for iPhone;'??', 'JUNGKOOK', 'BTS'
81972;962479224203362304;1190071402570768384;?????????;Twitter for Android;'MAMAVOTE', 'BTS'
81989;963068949402329088;1190071414591647744;?????????;Twitter for iPhone;'BTS'
82069;913901734291939329;1190071453242314757;??;Twitter for Android;
82090;1080434370622582784;1190071464449343488;Seoul, Republic of Korea;Twitter for Android;'MAMAVOTE', 'bts'
82128;783266128675995648;1190071484657491968;?????????????, ?????????;Twitter for Android;'BTS'
82141;2346816984;1190071490630180865;Malaysia;Twitter for Android;
82147;878613960844378112;1190071494564438016;?????????;Twitter for Android;'MAMA2019', 'MAMAVOTE', 'BTS', 'TXT', 'ITZY'
82159;943120427643047936;1190071501606674432;?????????;Twitter Web App;'BTS'
82172;1056133535268884480;1190071508556599296;????;Twitter for Android;'JIMIN', 'BTS'
82180;1681534206;1190071512520429568;United States;Twitter for iPhone;'BTS'
82191;766873581632430080;1190071522674659329;Seoul, Republic of Korea;Twitter for iPhone;'BTS'
82213;1080442812015960064;1190071538889834496;????;Twitter for Android;'BTS'
82226;866513506832572416;1190071544690593792;???? ??;Twitter for iPhone;'MAMAVOTE', 'BTS'
82237;987923974930616321;1190071549476257793;Seoul, Republic of Korea;Twitter for iPhone;
82238;1057912004613001216;1190071550306734080;Indonesia;Twitter for Android;'?????', 'BTS'
82294;982271077953896454;1190071580279205888;Republic of the Philippines;Twitter for iPhone;'BTS'
82305;1148098048603693056;1190071583299317760;United States;Twitter for iPhone;
82362;371271664;1190071616564273152;Brasil;Twitter for Android;
82367;960779747369222144;1190071621018537984;????;Twitter for Android;'???', '??', 'JIMIN', '?????', 'BTS'
82372;468988914;1190071622138384384;Republic of the Philippines;Twitter for iPhone;
82376;3317314939;1190071623996428288;??;Twitter for Android;'BTS'
82441;918787655386636288;1190071660952485890;Malaysia;Twitter for Android;
82443;728120226181619712;1190071661858447361;Indonesia;Twitter for Android;
82460;1116276923926056962;1190071673132728320;????;Twitter for Android;'BTS'
