;user_id;tweet_id;location;source;hashtags
1202;1057613017951567873;1190026670562037760;??;Twitter for iPhone;'BTS', 'Lights', 'BoyWithLove'
1214;1139843231930343424;1190026685716062211;United States;Twitter for iPhone;
1219;1042778654848122880;1190026687959879680;Indonesia;Twitter for Android;
1230;1146218166936145921;1190026697564971010;Indonesia;Twitter for iPhone;
1243;993267954593681408;1190026703818633218;Indonesia;Twitter for Android;
1281;885538274625769476;1190026734722277382;United States;Twitter for iPhone;
1288;1120190182190305281;1190026737343594496;?????????;Twitter for iPhone;'?', '???', 'BTSV', '??', '???', 'SUGA', 'BTS'
1293;945832524311343104;1190026744721485824;Seoul, Republic of Korea;Twitter for iPhone;'JIMIN', 'BTS'
1304;818671251866517505;1190026758638260224;Viet Nam;Twitter for Android;'BTS'
1340;1089630753925738496;1190026786039631873;Mexico;Twitter Web App;'MAMAVOTE'
1341;1068880000701489152;1190026787776016387;???? ??;Twitter for Android;'MAMA2019'
1346;1038672372994195457;1190026791043383296;????;Twitter for Android;'??', '?', '?????', 'BTS', 'V'
1355;1030147574475436032;1190026799113277440;Mexico;Twitter for Android;
1356;738087901100048385;1190026799796891651;United States;Twitter for iPhone;'BTSxTarget'
1366;888186166335418370;1190026806654619649;United States;Twitter for iPhone;'MAMAVOTE', 'BTS'
1370;4182766460;1190026809255092224;Mexico;Twitter for Android;
1382;957608290162114560;1190026819161878528;???? ??;Twitter for iPhone;'??', '??', 'JK', 'JM'
1475;1003369673134571520;1190026906793644033;Mexico;Twitter for Android;
1488;892348891923755008;1190026914121035777;???? ??;Twitter for Android;'?????', 'BTS'
1508;945108257420357633;1190026929497366528;United States;Twitter Web App;
1514;1047164267575693312;1190026932819087360;?????????;Twitter for Android;'MMA2019', 'EXO', 'BEN', 'LeeSora', 'MCtheMAX'
1533;2174522565;1190026945490231297;??;Twitter for Android;'2019MAMA', '?????', 'BTS', 'BTS'
1535;1043617154040508417;1190026947222487041;Brasil;Twitter Web App;'halloween2019', 'happpyhalloween', 'BTS'
1574;962691755249344513;1190026975294963713;Seoul, Republic of Korea;Twitter for Android;
1745;2884833348;1190027123416870912;Indonesia;Twitter for Android;'BTS'
1774;1070126313359298562;1190027145130790925;??;Twitter for Android;
1780;1105629986650648577;1190027150868414464;Malaysia;Twitter for Android;'BTS'
1782;729026530077106176;1190027152873394176;Republic of the Philippines;Twitter for Android;'MAMAVOTE', 'Bts'
1810;54193074;1190027177686753280;United States;Twitter for iPhone;
1815;959267215303360513;1190027189686808576;????;Twitter for iPhone;'MAMAVOTE', 'BTS'
1823;749745466678480896;1190027195844104196;Mexico;Twitter for iPhone;'MAMAVOTE', 'BTS'
1850;1079277178716532737;1190027217079848970;Indonesia;Twitter for Android;'??', 'JUNGKOOK', 'BTS'
1852;362287245;1190027219843866624;Mexico;Twitter for Android;'MAMAVOTE', 'BTS'
1891;1180736674692620290;1190027246473535489;Indonesia;Twitter for Android;'MAMAVOTE', 'BTS'
1893;1030004936807931904;1190027246783864832;????;Twitter for Android;'TAEKOOK', 'SPEAKYOURSELFTHEFINAL', 'SpeakYourselfTheFinal_D2'
1900;955440192793427971;1190027255617114115;????;Twitter for Android;'??????', 'JIMIN', 'MAMAVOTE', 'BTS'
1914;4842975388;1190027267944177669;Brasil;Twitter for Android;'MAMAVOTE', 'bts'
1925;994546290582142976;1190027274348720128;??;Twitter for iPhone;'BTS', '?????'
1977;1061960706407321601;1190027316044288000;??;Twitter for iPhone;'TillNextTimeJimtober', 'JIMIN', '??', '??????', 'BTS', '?????'
1983;1003447057582043137;1190027319387267072;United States;Twitter for iPhone;'BTS', 'SpeakYourselfTheFinal', 'giveaway'
1989;929950687814758400;1190027321878700034;Thailand;Twitter for Android;
1990;922042350360133632;1190027324172820480;????;Twitter for Android;'BTS', '?????', 'JIMIN', '??'
2010;1417360104;1190027338173435905;???? ??;Twitter for Android;'BTS', '??????', '???', 'JIN', '?', '??', 'SEOKJIN', '???'
2011;1006127175051894784;1190027338668544000;??;Twitter for iPhone;'bts', 'MAMAVOTE'
2021;827787434595328001;1190027351377285120;United States;Twitter for iPhone;'MAMAVOTE', 'BTS'
2029;942304379960471552;1190027353524756480;Mexico;Twitter for Android;'Seokjin', '???', 'BTS', 'Epiphany', 'A'
2034;1131695969475616769;1190027360180957184;???? ??;Twitter for Android;
2059;4206532933;1190027381114847235;United States;Twitter for Android;'BTSxTarget'
2081;1024046868198608896;1190027402048671746;????;Twitter for Android;'MAMAVOTE', 'BTS'
2087;896899400185688064;1190027411267538944;Republic of the Philippines;Twitter for iPad;
2104;939297929830973440;1190027423645126658;??;Twitter for Android;
2124;962961029398278144;1190027439948386304;Republic of the Philippines;Twitter for Android;'??', 'SUGA', 'BTS'
2134;959716335205822465;1190027445786873856;??;Twitter for iPhone;'2019MAMA', 'MAMA', 'MnetAsianMusicAwards', '?????', 'BTS'
2148;1063822313747996672;1190027457006460930;Indonesia;Twitter for Android;'BTS'
2150;1010865754655244291;1190027459779088390;Republic of the Philippines;Twitter for Android;'??'
2181;254751469;1190027492121182208;??;Twitter for Android;
2191;924401963122462720;1190027505064927232;Mexico;Twitter for Android;'MAMAVOTE', 'BTS'
2212;934248322130378752;1190027515865247744;United States;Twitter for iPhone;
2220;2841141776;1190027521628131329;????;Twitter Web App;'??'
2235;1127122817525223430;1190027530629271552;????;Twitter for Android;'MAMAVOTE', 'BTS'
2247;871252590415171584;1190027539135098881;Seoul, Republic of Korea;Twitter for Android;'MAMAVOTE', 'BTS'
2250;930313011213905921;1190027541781848069;????;Twitter for iPhone;'??', 'JIMIN', 'BTS'
2257;1110504900583026688;1190027547507081216;Indonesia;Twitter for Android;'BTS'
2280;1036848919521587201;1190027563399168000;??;Twitter for iPhone;'MAMAVOTE', 'bts'
2297;1014857934038171648;1190027588066062336;Indonesia;Twitter Web App;'halloween2019', 'happpyhalloween', 'BTS'
2310;1014823836146024449;1190027599881351170;Indonesia;Twitter for Android;
2363;955379160603602947;1190027638968135681;Brasil;Twitter for Android;
2364;960066396464934912;1190027639790194695;????;Twitter for Android;'?', 'V', 'taehyung', '??', '???', '??', '?????', 'BTS', '?????', 'BTSV'
2382;1166459378276478983;1190027654076018688;Brasil;Twitter for Android;
2398;1034920682361040896;1190027659201449986;????;Twitter for Android;'RM', '??', 'BTS'
2411;1070115068505817088;1190027668701564928;Indonesia;Twitter for Android;
2413;1139508032608411648;1190027670379212800;Indonesia;Twitter for Android;'halloween2019', 'happpyhalloween', 'BTS'
2474;3520864580;1190027707993743360;Seoul, Republic of Korea;Twitter for Android;'MAMAVOTE', 'BTS'
2496;1014785861412507649;1190027723676237829;Seoul, Republic of Korea;Twitter for Android;'BTS', 'JHOPE', 'JUNGKOOK'
2497;1008923222979428357;1190027724640964614;???? ??;Twitter for Android;'??'
2506;1032559123336851456;1190027729950957570;??;Twitter for iPhone;'BTSLoveMyself', 'BTS', '?????'
2514;1140748599229206528;1190027738708615169;????;Twitter for iPhone;'BTS', 'JHOPE', 'JUNGKOOK'
2518;966501442960814080;1190027741753679874;Republic of the Philippines;Twitter for Android;
2571;1109554846649204737;1190027785475166210;Brasil;Twitter for Android;
2605;1132813527872364552;1190027808577392640;Brasil;Twitter for iPhone;'MAMAVOTE', 'bts'
2612;979906654220234753;1190027813488861184;United States;Twitter for iPad;'MAMAVOTE', 'BTS'
2622;1126319229244923904;1190027820078161922;Mexico;Twitter for Android;
2662;890431142;1190027847819087874;Indonesia;Twitter for Android;'bts', '?????', 'Jhope', 'jhope', '???', '??', '???'
2669;1189171581630607363;1190027853426937856;????;Twitter for iPhone;'??', 'JUNGKOOK', 'RM', 'BTS'
2726;936857789988708352;1190027892929024001;????;Twitter for Android;'?????', '??', '?????', '??', '?', 'V', 'Taehyung', 'SYSFINAL', 'BTS'
2751;3233882718;1190027906803740674;United States;Twitter for iPad;'BTSxTarget'
2758;1089582119049969664;1190027910389936128;United States;Twitter for iPhone;'BTS'
2775;810492454965153792;1190027920829550597;????;Twitter for iPhone;'SUGA', '??', 'BTS'
2790;985348758417231872;1190027933232041985;??;Twitter for iPhone;
2819;278310767;1190027952844496896;???? ??;Twitter for Android;'Halloween', '???', 'JIMIN', '??', 'V', '?'
2832;823913766911807488;1190027963191967744;Malaysia;Twitter for Android;
2833;1113926947069812736;1190027963452006400;????;Twitter for Android;'BTSLoveMyself', 'BTS', '?????'
2855;992030451303727104;1190027976462651392;??;Twitter for iPhone;'MAMAVOTE', 'bts'
2863;1028800118781366272;1190027987326029824;Mexico;Twitter for Android;'MAMAVOTE', 'BTS'
2864;1118555251638984705;1190027988261314561;United States;Twitter for iPhone;'BTSarmy'
2913;703276082703802369;1190028026815356928;Brasil;Twitter Web App;
2993;1022720635280093184;1190028094893154305;???? ??;Twitter for iPad;
3022;867150991975526400;1190028121317228548;????;Twitter for iPhone;
3038;2912231747;1190028134655156230;Brasil;Twitter for Android;'BTSxTarget'
3043;828351816593141761;1190028136106397696;Indonesia;Twitter for Android;'UKArmy'
3077;996027777479467008;1190028155521839110;Republic of the Philippines;Twitter for Android;'MAMAVOTE', 'BTS'
3084;1174521896211075072;1190028164220755968;??;Twitter for iPhone;'MAMAVOTE', 'bts'
